('110557', ['204084', '154277'])
('90962', ['181596', '81241'])
('186835', ['155281', '83291'])
('85223', ['49310', '5136'])
('59152', ['16077', '118749'])
('190977', ['50456', '70560'])
('85226', ['22464', '155914'])
('66956', ['142530', '200706'])
('155572', ['94543', '46800'])
('120389', ['94991', '44233'])
('205148', ['223811', '169300'])
('46149', ['16388', '92977'])
('64869', ['16384', '94158'])
('87238', ['11499', '26782'])
('150058', ['97879', '85253'])
('153500', ['53811', '18968'])
('69122', ['54072', '149594'])
('69121', ['26979', '148477'])
('134399', ['92396', '58221'])
('69125', ['3453', '50648'])
('154931', ['82298', '4610'])
('45496', ['59601', '50868'])
('64865', ['28432', '11039'])
('172008', ['872', '17955'])
('188845', ['21972', '163796'])
('44908', ['108476', '14240'])
('247324', ['6744', '44969'])
('7506', ['21844', '179820'])
('117225', ['53580', '90473'])
('51893', ['74146', '163589'])
('205870', ['78140', '249429'])
('198864', ['67289', '70633'])
('74351', ['14299', '92396'])
('80075', ['9874', '16476'])
('210121', ['42178', '166906'])
('98525', ['16077', '142486'])
('97345', ['96977', '119854'])
('166764', ['229333', '155281'])
('97615', ['66900', '60263'])
('6055', ['51616', '7284'])
('190520', ['12909', '2907'])
('97349', ['23692', '150917'])
('141958', ['49735', '86475'])
('131984', ['41822', '127970'])
('90340', ['5729', '64779'])
('90349', ['14923', '5498'])
('90348', ['15299', '80773'])
('70633', ['152209', '22464'])
('204366', ['7517', '156608'])
('107542', ['47378', '89244'])
('184949', ['195736', '50743'])
('71323', ['84061', '178943'])
('70913', ['93607', '93786'])
('41405', ['154457', '80205'])
('62968', ['52352', '5438'])
('12351', ['193519', '238443'])
('255154', ['23692', '77442'])
('255155', ['162740', '54055'])
('10260', ['168284', '104925'])
('123428', ['119460', '93137'])
('70450', ['4031', '53627'])
('102075', ['78688', '17387'])
('12616', ['54452', '67376'])
('63389', ['64225', '141490'])
('42862', ['119331', '21446'])
('9042', ['100314', '44691'])
('121685', ['57879', '53738'])
('16141', ['112840', '239329'])
('68455', ['88653', '238575'])
('68456', ['16077', '94952'])
('176587', ['101998', '82970'])
('24071', ['153945', '178869'])
('176581', ['110557', '154277'])
('49804', ['53363', '84628'])
('49805', ['20190', '52603'])
('138565', ['53642', '16927'])
('68188', ['191463', '73203'])
('24989', ['91454', '226685'])
('211528', ['198428', '134663'])
('157081', ['71820', '132858'])
('122884', ['110557', '208304'])
('68184', ['60908', '26782'])
('211290', ['110557', '261374'])
('26782', ['15811', '15782'])
('40719', ['100943', '53589'])
('44453', ['13475', '118366'])
('83332', ['7141', '180620'])
('243246', ['195698', '139239'])
('26789', ['33245', '172987'])
('159063', ['92149', '227735'])
('44458', ['8075', '198428'])
('150707', ['218969', '100701'])
('71584', ['183522', '46072'])
('71855', ['66900', '165131'])
('71852', ['386', '132263'])
('54298', ['129944', '13367'])
('79140', ['16384', '63023'])
('122082', ['132641', '60184'])
('160111', ['67023', '21481'])
('68988', ['15061', '1788'])
('58731', ['213135', '25378'])
('175580', ['78687', '55299'])
('222913', ['181247', '67925'])
('13007', ['12299', '98150'])
('68448', ['59541', '66506'])
('68521', ['7259', '14303'])
('60345', ['219991', '109057'])
('127295', ['38867', '111991'])
('178151', ['195133', '197790'])
('78633', ['92087', '256'])
('263120', ['262123', '230266'])
('4337', ['166442', '204266'])
('178402', ['162275', '131114'])
('3134', ['64373', '12492'])
('132390', ['7822', '69454'])
('14585', ['155799', '11159'])
('151482', ['142343', '15578'])
('108560', ['54278', '48071'])
('72805', ['24696', '96250'])
('17857', ['23664', '18714'])
('91769', ['69382', '58222'])
('156685', ['131114', '13873'])
('120025', ['50903', '101085'])
('156687', ['247087', '77910'])
('15986', ['5345', '70362'])
('144732', ['110557', '13195'])
('185366', ['197790', '79537'])
('171750', ['20602', '225173'])
('171753', ['70362', '61216'])
('180784', ['109392', '157342'])
('110667', ['10157', '38755'])
('93728', ['53539', '14303'])
('51514', ['109842', '15455'])
('36975', ['99834', '62403'])
('89400', ['239790', '127364'])
('93725', ['73435', '53580'])
('5761', ['97416', '169401'])
('59065', ['163796', '79534'])
('196445', ['15384', '4206'])
('59061', ['19256', '115769'])
('182092', ['196316', '242684'])
('155015', ['144316', '6942'])
('103675', ['163796', '79534'])
('15189', ['8033', '7293'])
('67466', ['100943', '61929'])
('67469', ['66900', '19083'])
('28806', ['90762', '90748'])
('188061', ['160998', '151895'])
('66730', ['97654', '68804'])
('130821', ['48704', '64551'])
('136258', ['11316', '113354'])
('198394', ['204084', '69410'])
('119355', ['73088', '103900'])
('48891', ['73435', '33913'])
('23313', ['111156', '168018'])
('84338', ['51618', '84842'])
('109169', ['4072', '127981'])
('206435', ['10789', '93674'])
('24853', ['97124', '111156'])
('12519', ['9325', '94158'])
('12514', ['77909', '35572'])
('12515', ['142435', '123455'])
('7425', ['14923', '16384'])
('206121', ['70363', '91918'])
('39255', ['142343', '21446'])
('16524', ['182920', '141490'])
('16527', ['16382', '192085'])
('46921', ['1788', '16476'])
('93185', ['21446', '16919'])
('93187', ['61519', '71917'])
('93180', ['53926', '130821'])
('196037', ['169309', '205980'])
('6601', ['9542', '2905'])
('6602', ['126819', '72197'])
('6607', ['119460', '133746'])
('223252', ['68390', '183545'])
('42527', ['217851', '9148'])
('10854', ['70003', '82827'])
('84956', ['64146', '53485'])
('10851', ['218963', '2318'])
('153834', ['119644', '157022'])
('131151', ['173129', '149380'])
('10858', ['14705', '46228'])
('92058', ['90734', '90762'])
('145647', ['26774', '160193'])
('60959', ['15299', '69410'])
('110442', ['100270', '149386'])
('180521', ['115777', '21844'])
('215529', ['107883', '150917'])
('60954', ['8079', '60345'])
('120653', ['46275', '98655'])
('69460', ['5702', '117180'])
('63608', ['101152', '9755'])
('63609', ['6141', '94610'])
('181121', ['145906', '69316'])
('19535', ['191133', '105336'])
('165769', ['11149', '62129'])
('65728', ['110390', '237283'])
('121086', ['155281', '88214'])
('12182', ['23555', '47439'])
('158219', ['266040', '195133'])
('119428', ['24587', '51616'])
('119420', ['64373', '137035'])
('158216', ['13367', '124735'])
('201474', ['131114', '196212'])
('43928', ['209223', '66508'])
('69600', ['24790', '90849'])
('43923', ['126863', '69125'])
('2357', ['72859', '4751'])
('2354', ['163303', '12299'])
('205774', ['177297', '145155'])
('160101', ['161151', '142373'])
('46608', ['73488', '16512'])
('135256', ['62095', '2734'])
('139288', ['97693', '154277'])
('49126', ['82298', '106711'])
('135702', ['185704', '33260'])
('46600', ['163753', '165040'])
('17694', ['14593', '69658'])
('3736', ['28103', '27489'])
('3735', ['197790', '160193'])
('3733', ['15713', '78287'])
('162452', ['94216', '223173'])
('4690', ['82213', '11075'])
('79928', ['191463', '133746'])
('204178', ['30458', '69410'])
('4694', ['201124', '198428'])
('4697', ['17741', '50462'])
('134251', ['72035', '85168'])
('79927', ['70362', '150391'])
('41874', ['46893', '110762'])
('11727', ['190321', '50644'])
('53114', ['83472', '69410'])
('190264', ['8079', '1086'])
('96808', ['4591', '84482'])
('172057', ['95878', '11543'])
('116072', ['16105', '145067'])
('24204', ['55299', '66774'])
('116075', ['180207', '72193'])
('122651', ['105700', '170115'])
('17076', ['121086', '47376'])
('164857', ['189953', '70560'])
('17070', ['21446', '22753'])
('17073', ['10247', '8879'])
('90752', ['161494', '70384'])
('90753', ['65985', '70917'])
('60777', ['48579', '12108'])
('211754', ['205774', '190018'])
('9696', ['17114', '12108'])
('53802', ['127520', '100803'])
('53804', ['166228', '108476'])
('72513', ['251540', '45586'])
('138636', ['56053', '170423'])
('62731', ['24883', '163753'])
('41932', ['78311', '100943'])
('112513', ['13639', '24883'])
('134191', ['23365', '12771'])
('41388', ['226685', '126866'])
('48299', ['136774', '119460'])
('77015', ['48704', '16384'])
('45806', ['2522', '17008'])
('41382', ['21570', '45038'])
('45802', ['38875', '15144'])
('246667', ['173901', '59199'])
('8250', ['122757', '208641'])
('36663', ['49735', '104054'])
('65162', ['92396', '58221'])
('11607', ['42556', '160193'])
('61051', ['163796', '88653'])
('2078', ['53289', '40651'])
('85784', ['57879', '143345'])
('80338', ['8216', '77909'])
('1798', ['18219', '75435'])
('84434', ['3720', '162740'])
('1791', ['10220', '106497'])
('1797', ['2702', '44671'])
('165640', ['176260', '131114'])
('99661', ['124232', '196417'])
('161431', ['10247', '206169'])
('107753', ['253717', '60303'])
('95137', ['58221', '160193'])
('171235', ['120123', '113964'])
('40838', ['53738', '18940'])
('165645', ['21765', '131114'])
('178369', ['100014', '243897'])
('233060', ['186918', '46275'])
('174621', ['25095', '85946'])
('71461', ['90100', '156589'])
('71460', ['132641', '41230'])
('72168', ['8032', '112873'])
('33830', ['88214', '4610'])
('111093', ['50743', '112703'])
('109807', ['5729', '7862'])
('109804', ['159128', '84061'])
('164147', ['872', '24883'])
('123213', ['34462', '65985'])
('237961', ['141490', '8033'])
('196122', ['170842', '38561'])
('95059', ['42280', '73088'])
('54548', ['85507', '64858'])
('178097', ['94443', '127001'])
('114918', ['5702', '34462'])
('174061', ['104762', '99870'])
('112775', ['128916', '8378'])
('161183', ['24883', '180620'])
('147124', ['8879', '50065'])
('47439', ['49406', '81296'])
('212075', ['204084', '88996'])
('226342', ['176108', '91888'])
('115207', ['13914', '108005'])
('183443', ['7862', '53289'])
('34118', ['87928', '58221'])
('143315', ['24040', '112217'])
('111279', ['12492', '40515'])
('137424', ['97209', '2318'])
('9841', ['16384', '133746'])
('44864', ['96624', '106505'])
('33463', ['77442', '27489'])
('211278', ['177382', '5264'])
('9844', ['1751', '208641'])
('67812', ['261374', '204260'])
('44868', ['16384', '53280'])
('101820', ['95878', '7517'])
('166104', ['4860', '7517'])
('219579', ['236838', '135538'])
('170184', ['236838', '210808'])
('28495', ['16069', '99980'])
('47385', ['8879', '21928'])
('5817', ['82298', '16077'])
('219576', ['266040', '109057'])
('47382', ['3720', '100943'])
('28320', ['26422', '184501'])
('22548', ['50172', '16927'])
('206845', ['52487', '64058'])
('170036', ['97417', '122806'])
('204999', ['110769', '181596'])
('73697', ['19751', '51154'])
('68293', ['97525', '112217'])
('96230', ['176320', '127520'])
('24696', ['28806', '90748'])
('24695', ['16077', '82298'])
('151291', ['50988', '67655'])
('38316', ['63609', '70384'])
('116920', ['46228', '65490'])
('91931', ['110557', '13195'])
('3892', ['2321', '68886'])
('111128', ['51483', '701'])
('3891', ['53485', '227735'])
('94378', ['192085', '218202'])
('73435', ['8879', '15299'])
('107981', ['143534', '82890'])
('73431', ['45437', '24883'])
('116515', ['126873', '145111'])
('258364', ['28817', '80994'])
('110059', ['15776', '14184'])
('110057', ['192183', '53485'])
('35572', ['21412', '66502'])
('258368', ['94125', '54168'])
('73983', ['20871', '34330'])
('51235', ['46228', '8879'])
('104329', ['68763', '42280'])
('93066', ['163796', '79534'])
('104327', ['16927', '139665'])
('148166', ['50644', '131114'])
('51239', ['102069', '98249'])
('101750', ['65216', '15725'])
('61417', ['16077', '4020'])
('65113', ['2437', '114433'])
('61143', ['13195', '79980'])
('51722', ['9325', '15713'])
('181335', ['157022', '64877'])
('61418', ['45468', '116650'])
('186811', ['98655', '155687'])
('124148', ['164768', '108022'])
('115886', ['30090', '44233'])
('153741', ['110557', '208304'])
('144100', ['100178', '52790'])
('130615', ['133158', '19542'])
('104189', ['160193', '11822'])
('166102', ['38508', '84482'])
('121848', ['145111', '54034'])
('144102', ['114073', '260851'])
('140759', ['95077', '19751'])
('104181', ['77910', '57636'])
('128531', ['14576', '8879'])
('121847', ['5840', '51057'])
('121841', ['58221', '44963'])
('53030', ['213310', '59537'])
('98321', ['43276', '139806'])
('161393', ['145111', '186704'])
('82279', ['192085', '65200'])
('205160', ['65490', '183545'])
('244511', ['44099', '97417'])
('54193', ['97450', '20947'])
('219991', ['26422', '872'])
('82273', ['17540', '13359'])
('25271', ['64729', '266040'])
('69141', ['51616', '12836'])
('69140', ['16141', '192492'])
('64391', ['161313', '167732'])
('64396', ['253414', '133790'])
('153564', ['215410', '69723'])
('118279', ['16077', '77162'])
('146753', ['78385', '15299'])
('148592', ['12217', '12108'])
('146750', ['208546', '222585'])
('118277', ['260851', '90893'])
('118276', ['62976', '85253'])
('118275', ['49310', '38159'])
('198849', ['145111', '72652'])
('185728', ['224782', '90734'])
('227994', ['46197', '46471'])
('17262', ['53179', '15776'])
('185581', ['7692', '188967'])
('17267', ['62192', '16077'])
('227992', ['110557', '261374'])
('97366', ['4447', '120123'])
('119899', ['44691', '71980'])
('97362', ['51616', '89635'])
('39791', ['115960', '97450'])
('70619', ['42280', '36582'])
('102589', ['3455', '18099'])
('90321', ['209435', '10165'])
('70612', ['113354', '63110'])
('70611', ['138496', '94957'])
('70617', ['53852', '112063'])
('2656', ['26782', '108022'])
('2655', ['222370', '91041'])
('162666', ['99910', '10279'])
('7381', ['62129', '118366'])
('225607', ['34462', '23156'])
('84158', ['260851', '42959'])
('134626', ['163796', '124379'])
('246857', ['119644', '137010'])
('45126', ['101924', '121086'])
('141404', ['104625', '1086'])
('62945', ['58375', '54072'])
('155451', ['206469', '26422'])
('123918', ['85707', '160697'])
('44291', ['14856', '142205'])
('44294', ['164428', '46471'])
('10288', ['10247', '20602'])
('9069', ['10410', '66618'])
('44299', ['28848', '112813'])
('53495', ['36663', '52463'])
('123914', ['233637', '224956'])
('10280', ['3453', '204084'])
('21570', ['46901', '81296'])
('125368', ['81005', '4029'])
('24053', ['125102', '169300'])
('94364', ['186150', '126873'])
('61614', ['17387', '74482'])
('98813', ['186811', '37903'])
('147809', ['218969', '38508'])
('17487', ['52664', '47231'])
('84330', ['18756', '18219'])
('22846', ['113355', '149380'])
('65948', ['163796', '151956'])
('203423', ['186264', '180207'])
('4487', ['196327', '186264'])
('13391', ['149604', '85376'])
('4481', ['91092', '98813'])
('138548', ['154310', '160193'])
('204349', ['167471', '66502'])
('41463', ['9521', '68613'])
('4488', ['94413', '93467'])
('20990', ['16272', '50268'])
('71874', ['80726', '24883'])
('86876', ['132263', '9898'])
('168255', ['8079', '79513'])
('2907', ['4495', '138603'])
('2905', ['97209', '12672'])
('167474', ['80726', '135538'])
('701', ['97209', '72652'])
('58710', ['131114', '134189'])
('11881', ['106597', '11499'])
('197730', ['182583', '202566'])
('160137', ['233162', '18388'])
('44847', ['4031', '135308'])
('11884', ['60661', '65189'])
('69418', ['68763', '186264'])
('33798', ['11316', '124379'])
('38679', ['32654', '107196'])
('20190', ['17970', '1156'])
('106610', ['7049', '2342'])
('174657', ['204059', '261374'])
('69021', ['21582', '414'])
('10264', ['40573', '58907'])
('103447', ['72444', '149380'])
('179778', ['173180', '63755'])
('102053', ['53589', '17996'])
('13029', ['213586', '77442'])
('136531', ['32654', '100943'])
('78611', ['126866', '46275'])
('238608', ['131114', '213208'])
('71700', ['48704', '163796'])
('189779', ['113355', '149380'])
('108819', ['51339', '100943'])
('33868', ['70367', '7049'])
('3150', ['11753', '3720'])
('17870', ['106716', '71288'])
('11082', ['13281', '195488'])
('54143', ['104973', '89635'])
('20871', ['23638', '133790'])
('54144', ['54055', '144370'])
('68701', ['116650', '90084'])
('87156', ['70917', '18219'])
('20220', ['18890', '174803'])
('106778', ['100058', '53658'])
('91037', ['66506', '68805'])
('106771', ['49735', '13213'])
('79695', ['16077', '158540'])
('143129', ['131052', '189219'])
('143128', ['72304', '174259'])
('83640', ['113354', '45746'])
('67665', ['68605', '5840'])
('188260', ['38755', '169352'])
('23557', ['30690', '50909'])
('242173', ['196212', '98655'])
('118477', ['49873', '101622'])
('66289', ['13639', '100534'])
('126632', ['42959', '210155'])
('242179', ['5701', '136508'])
('176864', ['163796', '58952'])
('150642', ['67144', '126571'])
('23088', ['32654', '6377'])
('61128', ['126863', '17278'])
('196462', ['15776', '124077'])
('65542', ['90365', '21485'])
('109493', ['96961', '191895'])
('59048', ['43124', '66506'])
('109495', ['82298', '2059'])
('179554', ['8378', '195870'])
('129200', ['23156', '49387'])
('200296', ['164720', '92768'])
('129206', ['67824', '10165'])
('23882', ['19576', '129818'])
('4656', ['11149', '134663'])
('23337', ['58222', '14856'])
('74617', ['121697', '178733'])
('66753', ['112745', '7607'])
('266643', ['260851', '81754'])
('207858', ['163796', '70406'])
('8576', ['104720', '240425'])
('88594', ['226693', '30776'])
('180621', ['45586', '8033'])
('8700', ['71917', '46334'])
('45407', ['160611', '112813'])
('12578', ['131119', '21446'])
('12573', ['194754', '17957'])
('80158', ['79168', '17594'])
('110600', ['122962', '103822'])
('187190', ['185329', '82950'])
('250739', ['266132', '256420'])
('19083', ['66900', '70003'])
('152867', ['88653', '54219'])
('55363', ['16077', '70106'])
('117054', ['11884', '116650'])
('16503', ['79534', '160193'])
('16053', ['53926', '20004'])
('149951', ['80726', '5701'])
('144316', ['3720', '166228'])
('127858', ['10320', '191463'])
('189139', ['205696', '189219'])
('223270', ['7517', '107395'])
('61085', ['206960', '67055'])
('53771', ['18099', '117752'])
('144319', ['71820', '22609'])
('200856', ['11753', '243897'])
('40376', ['59559', '121187'])
('131138', ['248134', '178943'])
('100611', ['70028', '89086'])
('92071', ['126866', '91925'])
('120670', ['47187', '10633'])
('201212', ['204084', '81283'])
('221694', ['49059', '66618'])
('215506', ['127520', '41866'])
('61884', ['49735', '65498'])
('61885', ['872', '47378'])
('65705', ['83472', '166906'])
('155432', ['259421', '8038'])
('185230', ['52087', '229852'])
('121983', ['13262', '18714'])
('121982', ['4684', '4735'])
('65258', ['44251', '19751'])
('155439', ['52130', '129359'])
('158230', ['255659', '108005'])
('154522', ['257119', '145111'])
('86940', ['52756', '139787'])
('154520', ['178733', '169401'])
('159044', ['10519', '131114'])
('42684', ['123402', '172987'])
('81268', ['90349', '85792'])
('14705', ['70003', '94469'])
('33686', ['67275', '104034'])
('43411', ['218202', '190153'])
('25483', ['17922', '124449'])
('166395', ['22464', '126873'])
('163973', ['136508', '197790'])
('3713', ['15713', '258557'])
('46334', ['121032', '13029'])
('135235', ['131114', '145111'])
('79903', ['51616', '70367'])
('141095', ['23365', '778'])
('79905', ['141941', '15811'])
('75702', ['64058', '133790'])
('75703', ['248566', '121086'])
('2013', ['183522', '160193'])
('56813', ['218963', '68260'])
('43676', ['9466', '18164'])
('90510', ['141490', '180207'])
('43674', ['50988', '62192'])
('90516', ['16077', '133746'])
('90514', ['91257', '90748'])
('167629', ['236549', '191463'])
('60281', ['11292', '58375'])
('60282', ['9325', '72067'])
('13562', ['174621', '149380'])
('14258', ['5840', '8033'])
('57638', ['114073', '64877'])
('57636', ['77910', '102999'])
('104049', ['207010', '194949'])
('122630', ['153945', '173000'])
('227035', ['90084', '21826'])
('122980', ['65371', '53926'])
('122982', ['121187', '66900'])
('39514', ['27881', '112813'])
('124774', ['49735', '65498'])
('60020', ['43116', '70563'])
('64070', ['19542', '61698'])
('153172', ['105976', '97289'])
('94686', ['73596', '119644'])
('116094', ['59601', '1225'])
('52664', ['17487', '84071'])
('60758', ['2437', '123498'])
('53394', ['102999', '58364'])
('70287', ['12705', '60661'])
('80683', ['186652', '70169'])
('207504', ['188927', '21644'])
('85419', ['124532', '50377'])
('121187', ['59559', '1751'])
('128677', ['144061', '133158'])
('125174', ['91055', '78620'])
('85416', ['23692', '77442'])
('85411', ['51154', '53929'])
('85410', ['27868', '16077'])
('45825', ['173000', '131114'])
('48500', ['66900', '52413'])
('45821', ['8680', '44519'])
('74421', ['109910', '74163'])
('3373', ['238575', '180207'])
('48509', ['47791', '100133'])
('112894', ['131114', '50644'])
('207050', ['68804', '52852'])
('20501', ['9823', '53289'])
('95483', ['110557', '16077'])
('7246', ['71594', '125777'])
('251376', ['108005', '64891'])
('7244', ['5071', '101172'])
('7241', ['83636', '82298'])
('83811', ['14923', '11812'])
('148780', ['258215', '134663'])
('54440', ['44691', '72189'])
('163708', ['97209', '161313'])
('42101', ['97525', '74122'])
('80354', ['96932', '78315'])
('41102', ['147809', '188061'])
('6823', ['80867', '103908'])
('41107', ['110557', '261374'])
('15737', ['166906', '100206'])
('15738', ['6853', '114487'])
('264534', ['242684', '79513'])
('84456', ['96818', '7730'])
('173901', ['154876', '236838'])
('53531', ['156608', '20322'])
('218680', ['190217', '182112'])
('53539', ['18219', '112217'])
('70862', ['23113', '8449'])
('57858', ['63023', '43289'])
('121726', ['100534', '20602'])
('54452', ['49476', '54135'])
('115724', ['39791', '104567'])
('37483', ['115949', '47439'])
('37485', ['13270', '5741'])
('8810', ['13103', '27694'])
('18905', ['123194', '169352'])
('112579', ['27489', '162912'])
('109828', ['17915', '181547'])
('59451', ['71431', '18219'])
('179432', ['160193', '34462'])
('59905', ['196653', '44314'])
('111078', ['106711', '16077'])
('109822', ['12492', '104978'])
('109824', ['88214', '121086'])
('8216', ['77909', '48500'])
('243692', ['215795', '5840'])
('95036', ['7772', '5701'])
('194754', ['65985', '233162'])
('123765', ['75260', '141723'])
('119243', ['92396', '58221'])
('114936', ['176403', '23714'])
('139431', ['220237', '148659'])
('68377', ['18219', '38755'])
('68371', ['127750', '123235'])
('53615', ['139159', '83472'])
('149437', ['68360', '71502'])
('147497', ['216168', '8706'])
('112793', ['168716', '121086'])
('47411', ['7517', '67191'])
('67837', ['59266', '104098'])
('129697', ['16477', '49735'])
('143379', ['11075', '66525'])
('129690', ['100943', '50743'])
('93516', ['257119', '70415'])
('183421', ['161151', '210794'])
('111217', ['90929', '90723'])
('44888', ['166463', '70543'])
('35886', ['143345', '14990'])
('92683', ['167471', '150578'])
('137400', ['110952', '143227'])
('24504', ['131114', '168284'])
('96030', ['104560', '243246'])
('14428', ['97209', '2059'])
('11149', ['92087', '37872'])
('91485', ['66132', '24695'])
('91482', ['52187', '52603'])
('239895', ['92087', '166906'])
('169911', ['106125', '7517'])
('169918', ['136531', '18099'])
('48425', ['19083', '69035'])
('11849', ['123104', '45586'])
('131583', ['108168', '67158'])
('11513', ['71987', '16272'])
('232845', ['65985', '170466'])
('13814', ['106707', '137609'])
('13812', ['184352', '171054'])
('14849', ['213208', '214593'])
('132585', ['4029', '14923'])
('28162', ['77015', '13639'])
('132581', ['127520', '215795'])
('207992', ['14092', '21844'])
('207991', ['17996', '85281'])
('54278', ['101047', '3720'])
('160931', ['251699', '197790'])
('100869', ['246040', '160193'])
('160935', ['49756', '5701'])
('103081', ['32654', '7072'])
('79489', ['90636', '90748'])
('117912', ['70003', '161494'])
('234714', ['136508', '243246'])
('34689', ['63392', '84434'])
('79482', ['18987', '2907'])
('73418', ['119460', '16384'])
('150271', ['132641', '110996'])
('56483', ['90723', '18371'])
('11550', ['80106', '15051'])
('126847', ['58221', '160193'])
('11557', ['2318', '92087'])
('100646', ['97416', '169401'])
('11559', ['14278', '30090'])
('114793', ['22464', '14092'])
('130453', ['123194', '52912'])
('51252', ['4697', '133790'])
('32393', ['69557', '24883'])
('181354', ['205774', '177297'])
('50619', ['64225', '218370'])
('51259', ['3150', '90749'])
('132631', ['173000', '135538'])
('103888', ['266040', '204154'])
('22217', ['124532', '21478'])
('61166', ['130023', '67014'])
('103882', ['208546', '109057'])
('82472', ['94216', '61103'])
('48884', ['133204', '112063'])
('257731', ['84870', '197053'])
('25075', ['2059', '63392'])
('43988', ['121697', '247049'])
('124161', ['40980', '5840'])
('124162', ['13697', '2907'])
('121032', ['259161', '71917'])
('215312', ['37903', '189148'])
('101483', ['48220', '44691'])
('101481', ['19272', '99834'])
('235399', ['96977', '119657'])
('130671', ['69958', '132641'])
('151947', ['149380', '44690'])
('46100', ['110996', '23365'])
('219784', ['220237', '173937'])
('140772', ['14299', '21931'])
('78997', ['65985', '70543'])
('177655', ['225301', '104560'])
('56152', ['214831', '68440'])
('98655', ['46275', '186918'])
('98306', ['1751', '16077'])
('93991', ['3342', '5840'])
('191472', ['159646', '209469'])
('191471', ['126866', '25212'])
('57282', ['38326', '84330'])
('112263', ['26422', '155102'])
('25295', ['195698', '8249'])
('191479', ['97450', '73488'])
('25292', ['93137', '51616'])
('16267', ['123194', '7772'])
('260', ['14258', '147610'])
('85086', ['740', '144370'])
('85087', ['109069', '106707'])
('251581', ['177795', '114073'])
('30084', ['220237', '150168'])
('19949', ['67289', '14502'])
('182464', ['119644', '64396'])
('123292', ['8608', '7284'])
('117260', ['5729', '116650'])
('117264', ['82298', '37872'])
('21471', ['142530', '3453'])
('119879', ['7862', '70917'])
('97307', ['94129', '236838'])
('52230', ['53114', '5583'])
('10048', ['104542', '4031'])
('107502', ['166906', '141380'])
('57467', ['163796', '79534'])
('140353', ['112063', '52069'])
('111442', ['103900', '64471'])
('113566', ['24883', '172427'])
('10041', ['149380', '88653'])
('10734', ['23692', '28583'])
('53700', ['34330', '23113'])
('10047', ['26782', '103804'])
('111336', ['149667', '126392'])
('79204', ['160193', '53488'])
('167581', ['96932', '160193'])
('121537', ['133158', '82298'])
('149158', ['41822', '85951'])
('84133', ['108476', '21446'])
('236378', ['248797', '88996'])
('85656', ['51154', '94783'])
('149154', ['90893', '151517'])
('58885', ['18219', '42280'])
('12391', ['38992', '44548'])
('26016', ['66900', '21478'])
('141429', ['143553', '54055'])
('26015', ['192578', '225995'])
('209281', ['166764', '108476'])
('61377', ['7862', '93137'])
('45106', ['80726', '185092'])
('246871', ['58071', '136508'])
('134350', ['3720', '103266'])
('141135', ['215795', '202457'])
('85627', ['112221', '67367'])
('121863', ['106353', '10657'])
('44276', ['57066', '31853'])
('44277', ['47463', '96932'])
('184932', ['166906', '38159'])
('128119', ['98813', '1024'])
('85628', ['19751', '84330'])
('88800', ['15051', '3613'])
('58081', ['14856', '107883'])
('58083', ['64951', '86210'])
('147866', ['32654', '91024'])
('196351', ['220934', '174916'])
('21592', ['66900', '21446'])
('135910', ['21485', '44453'])
('94145', ['13281', '33335'])
('94838', ['143776', '94016'])
('22868', ['13165', '100943'])
('211564', ['45664', '108005'])
('164428', ['21412', '142530'])
('68144', ['16077', '95878'])
('68143', ['167471', '247087'])
('22864', ['17970', '59601'])
('70671', ['84071', '83472'])
('167457', ['204059', '85423'])
('90651', ['89171', '131114'])
('90300', ['131984', '240425'])
('168272', ['151382', '236549'])
('44412', ['70003', '58820'])
('2925', ['58071', '168018'])
('2926', ['223444', '163753'])
('5333', ['103959', '53589'])
('58268', ['121086', '116191'])
('158890', ['53375', '247049'])
('104854', ['1374', '123402'])
('58267', ['59906', '18099'])
('236952', ['186918', '98193'])
('104850', ['69709', '701'])
('175273', ['216594', '52087'])
('30466', ['15299', '5264'])
('175277', ['108005', '227817'])
('172958', ['145111', '166228'])
('175279', ['19751', '23113'])
('38655', ['7862', '93137'])
('123970', ['100943', '52175'])
('83485', ['13639', '1788'])
('36142', ['97209', '108005'])
('67541', ['64779', '239000'])
('18737', ['256', '2704'])
('89992', ['61216', '97654'])
('18732', ['218645', '28583'])
('37815', ['2729', '7772'])
('54160', ['71987', '225173'])
('119640', ['58071', '166906'])
('233637', ['65985', '66059'])
('71723', ['46275', '133358'])
('122373', ['9466', '14576'])
('161115', ['149060', '47823'])
('67545', ['192085', '111279'])
('94532', ['144433', '60904'])
('3171', ['21412', '142530'])
('234948', ['77442', '40800'])
('3176', ['27694', '127389'])
('143147', ['69294', '70264'])
('41528', ['115575', '117180'])
('11258', ['212572', '218969'])
('6540', ['112679', '8252'])
('156648', ['18805', '39607'])
('54217', ['4610', '20602'])
('208554', ['33217', '88653'])
('137656', ['95385', '215795'])
('67138', ['201826', '107975'])
('67137', ['8449', '10182'])
('129191', ['84534', '86210'])
('216033', ['36663', '223811'])
('129446', ['5701', '240454'])
('83663', ['181547', '180620'])
('182920', ['161313', '156380'])
('240264', ['85679', '157691'])
('185329', ['196212', '18200'])
('1167', ['163796', '78620'])
('22119', ['104567', '161313'])
('226862', ['243692', '59888'])
('89191', ['53926', '91088'])
('147684', ['21460', '44969'])
('66517', ['24696', '53640'])
('118456', ['71917', '46334'])
('27825', ['70362', '72335'])
